name,type,genre,episodes,popularity,averageScore,rating,animeYear
Bungou Stray Dogs 2,TV,"Action,Comedy,Mystery,Supernatural",12,137978,81,81,2017
Mahou Shoujo Madoka☆Magica Movie: Eien no Monogatari,MOVIE,"Action,Drama,Fantasy,Mahou Shoujo,Psychological,Thriller",1,33008,81,81,2012
Kino no Tabi: the Beautiful World,TV,"Adventure,Drama,Fantasy,Psychological,Slice of Life",13,51043,81,81,2003
Initial D,TV,"Action,Drama,Sports",26,56040,81,81,1999
Boku dake ga Inai Machi,TV,"Drama,Mystery,Psychological,Supernatural,Thriller",12,353581,81,81,2016
Kidou Senshi Gundam: THE ORIGIN,OVA,"Action,Mecha,Sci-Fi",6,12962,81,82,2017
Shoujo Kakumei Utena,TV,"Drama,Fantasy,Mystery,Psychological,Romance",39,42512,81,81,1998
Holo no Graffiti,ONA,"Action,Adventure,Comedy",,7838,81,82,2019
ONE PIECE STAMPEDE,MOVIE,"Action,Adventure,Comedy,Drama,Fantasy",1,28718,81,81,2019
Toaru Kagaku no Railgun T,TV,"Action,Sci-Fi",25,42956,81,81,2020
Kono Subarashii Sekai ni Shukufuku wo! 2,TV,"Adventure,Comedy,Ecchi,Fantasy",10,214841,81,81,2017
Kuroko no Basket 3rd Season,TV,"Comedy,Sports",25,94427,81,81,2015
Gin no Saji 2,TV,"Comedy,Drama,Slice of Life",11,23469,81,81,2014
Girls und Panzer Movie,MOVIE,"Action,Sports",1,19366,81,81,2015
Major S6,TV,"Comedy,Drama,Sports",25,7987,81,82,2010
Evangelion Shin Movie: Ha,MOVIE,"Action,Drama,Mecha,Psychological,Sci-Fi",1,74692,81,81,2009
Sennen Joyuu,MOVIE,"Drama,Fantasy,Romance",1,34293,81,81,2002
Meitantei Conan,TV,"Adventure,Comedy,Mystery,Psychological",,43829,81,81,1996
Tokyo Revengers,TV,"Action,Drama,Romance,Supernatural",24,237627,81,81,2021
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,"Comedy,Drama,Mystery,Psychological,Romance,Supernatural",13,320106,81,81,2019
Kamisama Hajimemashita◎,TV,"Comedy,Fantasy,Romance,Supernatural",12,50301,81,81,2015
Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku,TV,"Comedy,Drama,Romance,Slice of Life",13,159905,81,81,2015
Non Non Biyori: Repeat,TV,"Comedy,Slice of Life",12,38038,81,81,2015
